ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
FOYLEAD01,1,2006,Adonal,Foyle,GSW,9,N,48,479,107,51,75,126,19,11,50,23,61,85,48,25,11,0,0
FOYLEAD01,1,2007,Adonal,Foyle,ORL,10,N,82,775,156,71,137,208,18,16,45,32,94,153,70,34,16,0,0
FOYLEAD01,1,2008,Adonal,Foyle,TOT,11,N,10,62,17,9,17,26,1,0,8,3,5,11,7,6,3,0,0
FRAZIWA01,2,1976,Walt,Frazier,NYK,9,N,76,2687,1323,52,241,293,403,132,9,0,194,1089,532,336,259,0,0
FRAZIWA01,2,1977,Walt,Frazier,CLE,10,N,51,1664,825,54,155,209,209,77,9,113,124,714,336,180,153,0,0
FRAZIWA01,2,1978,Walt,Frazier,CLE,11,N,12,279,129,7,13,20,32,13,2,22,22,122,54,27,21,0,0
FREEWO01,2,1984,World,Free,CLE,9,N,71,2249,1597,61,150,211,320,75,16,139,163,1328,609,411,308,193,71
FREEWO01,2,1985,World,Free,CLE,10,N,75,2535,1754,72,146,218,314,91,19,172,186,1433,652,486,379,169,71
FREEWO01,2,1986,World,Free,PHI,11,N,20,285,116,5,14,19,30,5,4,18,26,123,39,47,36,9,2
GARNEKE01,0,2004,Kevin,Garnett,MIN,9,N,82,3121,1817,247,861,1108,466,121,112,222,207,1360,683,549,445,25,6
GARNEKE01,0,2005,Kevin,Garnett,MIN,10,N,76,2960,1656,214,752,966,308,104,107,180,206,1191,626,489,396,30,8
GARNEKE01,0,2006,Kevin,Garnett,MIN,11,N,76,2999,1704,183,792,975,313,89,126,205,184,1341,638,498,416,56,12
GERVIGE01,2,1981,George,Gervin,SAS,9,N,79,2817,2551,138,254,392,187,77,45,210,215,1987,993,642,555,36,10
GERVIGE01,2,1982,George,Gervin,SAS,10,N,78,2830,2043,111,246,357,264,88,67,247,243,1553,757,606,517,33,12
GERVIGE01,2,1983,George,Gervin,SAS,11,N,76,2584,1967,106,207,313,220,79,47,224,219,1561,765,507,427,24,10
GILLIAR01,0,1996,Armen,Gilliam,MIL,9,N,80,2050,691,136,361,497,53,61,40,105,206,522,246,259,199,0,0
GILLIAR01,0,1997,Armen,Gilliam,MIL,10,N,82,2114,921,146,294,440,102,65,38,149,178,676,327,333,267,4,0
GILLIAR01,0,1998,Armen,Gilliam,MIL,11,N,34,668,281,33,93,126,19,22,12,36,48,223,101,101,79,1,0
GILLKE01,2,1999,Kendall,Gill,NJN,9,N,76,2355,993,82,201,283,210,139,41,89,211,956,396,255,181,78,20
GILLKE01,2,2000,Kendall,Gill,NJN,10,N,31,892,283,32,99,131,87,47,7,48,64,323,107,90,65,14,4
GILLKE01,2,2001,Kendall,Gill,MIA,11,N,65,1411,372,29,155,184,100,44,8,55,140,422,162,62,42,44,6
GILMOAR01,1,1980,Artis,Gilmore,CHI,9,N,82,2832,1469,220,608,828,172,47,198,236,295,816,547,532,375,0,0
GILMOAR01,1,1981,Artis,Gilmore,CHI,10,N,82,2796,1517,224,611,835,136,49,220,227,287,837,546,552,424,1,1
GILMOAR01,1,1982,Artis,Gilmore,SAS,11,N,82,2797,1479,299,685,984,126,40,192,254,273,888,556,496,367,6,0
GMINSMI01,1,1989,Mike,Gminski,PHI,9,N,81,2659,1112,196,491,687,128,43,102,98,136,1002,458,235,193,17,3
GMINSMI01,1,1990,Mike,Gminski,TOT,10,N,80,2196,844,186,396,582,93,40,56,85,99,808,357,158,128,14,2
GMINSMI01,1,1991,Mike,Gminski,CHA,11,N,35,499,202,37,81,118,31,11,16,20,37,199,90,28,21,3,1
GOODRGA01,2,1974,Gail,Goodrich,LAL,9,N,72,2668,1630,96,123,219,420,102,6,0,214,1429,656,378,318,0,0
GOODRGA01,2,1975,Gail,Goodrich,LAL,10,N,75,2646,1459,94,120,214,421,123,17,0,238,1321,583,346,293,0,0
GOODRGA01,2,1976,Gail,Goodrich,NOJ,11,N,27,609,340,25,36,61,74,22,2,0,43,305,136,85,68,0,0
GRANTBR01,0,2003,Brian,Grant,MIA,9,N,76,2303,664,174,350,524,69,51,35,82,254,613,289,110,86,1,0
GRANTBR01,0,2004,Brian,Grant,LAL,10,N,69,1136,263,101,156,257,34,23,23,43,175,209,103,79,57,0,0
GRANTBR01,0,2005,Brian,Grant,PHO,11,N,21,248,61,11,46,57,7,5,3,7,45,65,27,8,7,0,0
GRANTGA01,2,1997,Gary,Grant,POR,9,N,22,359,105,8,40,48,84,17,2,24,30,93,43,14,12,19,7
GRANTGA01,2,1998,Gary,Grant,POR,10,N,2,7,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
GRANTGA01,2,1999,Gary,Grant,POR,11,N,3,24,12,0,3,3,1,1,0,2,3,14,6,0,0,0,0
GRANTHO01,0,1996,Horace,Grant,ORL,9,N,67,2496,845,206,394,600,163,101,65,99,157,695,358,179,128,6,1
GRANTHO01,0,1997,Horace,Grant,ORL,10,N,76,2803,921,228,390,618,172,81,79,88,180,857,393,199,135,7,0
GRANTHO01,0,1998,Horace,Grant,ORL,11,N,50,1660,443,117,234,351,90,46,60,44,99,456,198,70,47,2,0
GREENAC01,0,1994,A.c.,Green,PHO,9,N,82,2687,916,194,475,669,127,55,31,114,146,617,311,343,251,127,43
GREENAC01,0,1995,A.c.,Green,PHO,10,N,82,2113,612,166,388,554,72,45,22,79,141,444,215,237,168,52,14
GREENAC01,0,1996,A.c.,Green,TOT,11,N,83,2492,597,222,434,656,69,70,16,74,145,484,234,197,128,20,1
GREENDA01,0,1988,David,Greenwood,TOT,9,N,67,1403,466,140,262,402,96,47,52,91,201,395,167,176,132,0,0
GREENDA01,0,1989,David,Greenwood,DET,10,N,37,205,60,24,54,78,12,4,9,16,40,52,22,29,16,0,0
GREENDA01,0,1990,David,Greenwood,SAS,11,N,63,1018,239,61,160,221,52,29,25,71,172,169,85,94,69,2,0
GREENRI01,2,1986,Rickey,Green,UTA,9,N,81,2090,781,38,125,163,541,110,2,133,108,644,301,208,172,19,7
GREENRI01,2,1987,Rickey,Green,UTA,10,N,81,1116,393,14,66,80,300,57,1,94,83,370,157,83,75,19,4
GREENRI01,2,1988,Rickey,Green,TOT,11,N,63,871,291,11,58,69,187,40,2,61,35,264,129,33,30,11,3
GUGLITO01,0,2001,Tom,Gugliotta,PHO,9,N,44,1131,285,59,162,221,77,39,30,61,116,301,127,37,28,9,3
GUGLITO01,0,2002,Tom,Gugliotta,PHO,10,N,27,447,129,25,75,100,31,14,5,31,35,132,60,9,9,1,0
GUGLITO01,0,2003,Tom,Gugliotta,TOT,11,N,55,819,161,65,121,186,63,31,12,39,80,203,70,28,20,4,1
HAMMOTO01,0,1998,Tom,Hammonds,MIN,9,N,49,716,212,54,82,136,20,8,7,32,88,179,82,75,48,0,0
HAMMOTO01,0,1999,Tom,Hammonds,MIN,10,N,56,372,117,34,67,101,10,8,3,21,55,97,42,56,33,0,0
HAMMOTO01,0,2000,Tom,Hammonds,MIN,11,N,7,30,7,2,2,4,1,0,0,3,8,10,3,2,1,0,0
